title,amount,department,date,city,views,details
Marriage certificate related,"1,00,000",Certificates,"May 13, 2019","Katni, Madhya Pradesh",1496,They took money from groomside and cancled my sister's Marriage certificate and now they asking for bribe to restore this again.  We don't have that m...
Buy Handcrafted Mexican Glass and Hand Blown Large Tumbler Glasses at Hardworkingproducts.com,"3,000",Others,"May 13, 2019","Adityapur, Jharkhand",1743,"Buy online best and beautiful handcrafted drinking glasses, Handcrafted Mexican Glass, Hand Blown Large Tumbler Glasses made from recycled glass and l..."
Replacement Velcro Straps for Hoverkart / Hovercart at Smartboardsuk.com,"2,200",Others,"May 13, 2019","Adoni, Andhra Pradesh",1817,Shop online replacement hoverkart & hoverboard velcro straps from Smart Boards UK (smartboardsuk.com) at best market price and also we at Smart Boards...
Trade License Officer at KMC ( Kolkata Munical Corporation ) at Gariahat Office ,"2,000",Registrations and Licenses,"May 12, 2019","Kolkata, West Bengal",2574,"The Officer in Charge of Issuing Trade License for Ward 80 ( Pin - 700088 ) who Sits in Gariahat, Kolkata Trade License Office Only Works if Bribe is ..."
Paid Rs 100 to Chowki Police today,100,Verification and Certificates,"May 11, 2019","Bangalore, Karnataka",1695,There were two polices checking the bikes who are going out of Rajarajeshwari Nagar police Near Channasanda. It comes under RR Nagar Police limits. I ...
There is a patwari in our vilage taking bribe,"32,000",Land Related,"May 9, 2019","Bulandshahr, Uttar Pradesh",2071,A patwari in my village is doing chakbandi of plots under government he isnt doing his work properly in order to do his work he is demanding bribe for...
I forced to paid bribe for building approval,"15,000",Aadhaar Card Process,"May 9, 2019","Kanchipuram, Tamil Nadu",4021,I applied for building approval in my agaram then village panchayat at Agram to do work done one lady staff asked bribe rupees 30000 finally I paid 15...
Redcat Shockwave Supercharger & Parts at RBinnovations.com,"2,200",Others,"May 8, 2019","Balaghat, Madhya Pradesh",1125,"Buy online best and affordable supercharger for REDCAT RC Nitro LIGHTNING STR, SHOCKWAVE, TSUNAMI, VOLCANO STX, TORNADO S30, VOLCANO S30, LANDSLIDE LT..."
Registration bribe,200,Property Registration,"May 8, 2019","Bangalore, Karnataka",1877,"Gopal , took money for registration of property...."
UTTAR PRADESH KISAN SARVHIT BIMA YOJNA,"1,00,000",Health Insurance,"May 7, 2019","Etawah, Uttar Pradesh",1962,These personal have taken bribe from me for passing and giving credit of 5 lakhs (entitled as per scheme) . Udayvir Singh 9259528784 Saurabh Kumar 963...
Bribe on every visit at agriculture department ,"20,000",Government Personnel,"May 7, 2019","Yamunanagar, Haryana",2045,"Clerk named Naresh who issues licenses in agricultural department, yamuna nagar demands bribe everytime whenever one visits to get a license and he vi..."
Mid Length AR15 Handguard Two Piece Quad Rail ,"5,500",Others,"May 7, 2019","Adari, Uttar Pradesh",2774,"Buy now 9"" AR15 Handguard Two Piece Quad Rail Drop In Fit Triangle End Cap 223 with aluminum construction, Hard Anodized, Black coat finish, Two piece..."
I was forced to give bribe,"1,000",Certificates,"May 7, 2019","Bangalore, Karnataka",2195,"I went to Advocate K.P Ramesh to get bond paper for dental admission counseling. The stamp and bond paper costed 20,100 and 200 total 320. But this ad..."
Handcrafted or Handmade Drinking Glasses (Medium) at Hardworkingproducts.com,"5,500",Others,"May 7, 2019","Adityapur, Jharkhand",2037,Beautiful handcrafted or handmade drinking glasses made from recycled glass and every medium acrobat is handcrafted in Mexico by Xaquixe Glass Studio....
RTO JHULJHULI FITNESS CENTRE,"4,000",Vehicle Fitness,"May 7, 2019","New Delhi, Delhi",2928,My vehicle is standing for fitness since one week due to appoitment on 7th with jhuljhuli rto centre. My vehicle is brand new and i did not hire any a...
Adjustment Slider to Fit - Suspension Hoverkart For Sale UK,"9,866",Others,"May 7, 2019","Adityapur, Jharkhand",1929,This is the adjustment slider piece to fit the suspension hoverkart and there are 4 of these fitted to the kart. This listing is for 1 piece and we su...
Pago soborno prueba,123,Registrations and Licenses,"May 7, 2019","Adari, Uttar Pradesh",1901,Prueba de dprueba de denucnia...
Test report,100,Registrations and Licenses,"May 6, 2019","Adityapur, Jharkhand",1895,Test report distinct others...
Post man taking bribe,40,Pension Processing,"May 6, 2019","Chitradurga, Karnataka",1923,My grandma and all pensioner in my village giving 40/- for taking there own pension amount every month.Post man named srinivas alies postman sinanna ....
For Teacher Job they have asked for Rs.400000/-,"4,00,000",College Leaving Certificate,"May 6, 2019","Bellary, Karnataka",2758,Hi the person who asked for bribe is Ramudu who has been in Politics and because of this me and my wife broke and he has taken all certificate and can...
I have been asked to pay unreasonable amount of money “bribe” in Aabkari Lucknow ,"10,000",Excise,"May 6, 2019","Lucknow, Uttar Pradesh",2760,I would like to inform that I have been asked to pay unreasonable amount of money for the work done for which I have already paid the requisite amount...
RTO corruption,"3,000",Entry Tax,"May 4, 2019","Bangalore, Karnataka",6307,"I had my driving licence test today at Electronic city RTO Bangalore. Without bribing to the agents there, we can't get the licence easily. Even the p..."
Rs. 700 was asked to make a medical certificate ,700,Health Services,"May 4, 2019","Ranchi, Jharkhand",2849,I had to pay Rs 700 as bribe for getting a medical certificate. All the test as mentioned in the format was done by me in the sadar hospital itself bu...
Aadhar card ke liye extra,90,Others,"May 4, 2019","Deoria, Uttar Pradesh",2928,19-03-2019 ko dena bank aadhar centre pr 50 ke bajaaye mujhse 150 le liye aur Madarchod waha ka incharge mera documents transfer bhi nhi kia aaj 4 may...
Bribe for police verification,"1,500",Certificates,"May 2, 2019","Guntur, Andhra Pradesh",1847,"I VNS Prasanth, applied for passport on 1st april 2019 and I've got police verification on 2nd april 2019 at the time of 10am in MACHERLA rural police..."
Paid bribe at RTO Hardoi,"1,500",Driving Licenses and Tests,"May 1, 2019","Hardoi, Uttar Pradesh",1242,In hardoi if u don't pay bribe they will not clear your DL easily.RTO of hardoi had set mediator for taking bribe from people and qiving to RTO they d...
I paid 1000 rs in turns get only 162 rs reciept of indian govt.,800,Traveling without Ticket,"May 1, 2019","Surat, Gujarat",4265,"29/4/2019 Time:5:05 pm Location:bhartiya daak centre office,                       Near railway station, surat  I have to send my two wheeler from sur..."
Modified Cooling Clutch Plate for TR/OBR Sealed Billet Clutch Housing at RBinnovations.com,"2,562",Others,"May 1, 2019","Adilabad, Telangana",2059,Stop burning up your clutches from extreme overheating and this hybrid clutch plate features machined fan blades to force air over the clutch to cool ...
Police officer pretending to arrest me,"10,000",FIR and Complaints,"April 30, 2019","Pune, Maharashtra",2631,Police officer pretending to arrest me on basis of falls complaints against me by my in-laws and asking for 50k but my family member settled on 15k ou...
Officer was not proceed the documents without giving bribe,"1,500",Property Registration,"April 30, 2019","Yavatmal, Maharashtra",2193,Name of officer: T.S.Tanpure Date of incident: 30/4/2019 Time of incident: 3:30pm Location of incident: At post Ta Mahagaon Dist Yavatmal -445205 Off...
They put the land document  in pending  after regarding on 8 march2019 ,"60,000",Property Registration,"April 30, 2019","Chennai, Tamil Nadu",2476,30april 2019 kundrutur regarding  office  at 12 clock ...
AR-15 Combo Armorer's Wrench Tool -AR15 223 5.526 at AR15handguard.com,"25,899",Others,"April 30, 2019","Jaggaiahpet, Andhra Pradesh",969,"Buy online Gunsmith Armorer's Tool Kit  (AR 15 Combo Armorer's Wrench Tool) heavy duty multi steel Wrench tool, CAR stock w/ 3 point castle nut / lock..."
Handcrafted/Handmade Drinking Glasses at Hardworkingproducts.com,"2,505",Others,"April 30, 2019","Achhnera, Uttar Pradesh",2106,Buy online beautiful handcrafted drinking glasses made from recycled glass and each large tumbler is handcrafted in Mexico by Xaquixe Glass Studio and...
Hoverkarts UK – Best Hoverkarts For Sale UK – Smartboardsuk.com,"2,205",Others,"April 30, 2019","Adilabad, Telangana",2527,"Searching for best, cheap and inexpensive best and affordable hoverkarts for sale in UK online then you have visited the exact place and no need to go..."
Intentionally  delaying  procedures  so that he can get money,500,Employee State Insurance,"April 30, 2019","Bangalore, Karnataka",1654,"Name of officer : Sharath.  Date of incident: 25/4/2019 Time of incident :4:22 pm Location of incident: MS Ramaiah medical college, ground floor,   co..."
Corruption in Welkin Telecom infra Pvt Ltd.,"30,00,000",Bills and Payment,"April 29, 2019","Kolkata, West Bengal",655,"I am employee of Welkin telecom , just few days ago organization was suspended without any notice preiod & without paid any graduitity reason only i a..."
Police Harassment and Abuse and Bribe,"1,500","Traffic Fines, Penalties, Rules","April 28, 2019","Coimbatore, Tamil Nadu",3177,Two of my friends were riding a bike when they were caught. In their inspection the driver was drunk. The cops took them to the police station on the ...
Police Harassment,"1,500",FIR and Complaints,"April 28, 2019","Coimbatore, Tamil Nadu",3129,"Today, two guys on a bike were stopped by the cops and fined them for drunk driving and gave a Challan for Rs. 2500/- Also, they snatched their phones..."
Birth Certificate Address Correction,220,Health and Family,"April 25, 2019","Noida, Uttar Pradesh",2983,"Date: 24 April 2019 Time: 10.30 AM Location: CMO Office, Noida Person: K K Bhaskar Designation: A R O  Report: I paid bribery to update the permanent ..."
Corruption ,500,Entry Tax,"April 24, 2019","Bangalore, Karnataka",4449,Traffic police caught me !! He checked my documents .all were perfect . And he asked to give 100 I would leave u then I paid him !! He didn’t genera...
Buy Redcat Shockwave Superchargers & Upgrades at RBinnovations.com,"1,200",Others,"April 24, 2019","Adilabad, Telangana",2398,"Are you looking to buy best and affordable redcat shockwave supercharger, redcat shockwave upgrades, redcat supercharger, redcat rampage supercharger,..."
Charging Handle Latch Mil Spec T6 6061 Aircraft Aluminum AR15 223 5.56 at AR15handguard.com,200,Others,"April 23, 2019","Adityapur, Jharkhand",2230,"Buy online best and inexpensive 223/ 5.56 Tactical Charging Handle, T6 6061 Aluminum T6 6061, Aircraft Aluminum Milspec, Type 3 Hardcoat with Anodized..."
Beautiful Hand Crafted Stemless Wine Glasses at Hardworkingproducts.com,"2,200",Others,"April 23, 2019","Achhnera, Uttar Pradesh",2210,"If you are looking for best and beautiful hand crafted stemless wine glasses, hand painted wine glasses, hand painted stemless wine glasses, stemless ..."
Collected bribe in the name of fund,100,Driving Licenses and Tests,"April 23, 2019","Vellore, Tamil Nadu",2699,They asked me to pay rupees 100 as a bribe. I said I don't have any money. He said you can't leave this room without providing money. He gave me recei...
Hoverboard Segway/Swegway Replacement Parts UK – Smartboardsuk.com,"2,200",Others,"April 23, 2019","Adari, Uttar Pradesh",2172,"Are you looking for high quality, best and cheap hoverboard segway/swegway replacement parts online in UK? We at Smart Boards UK (smartboardsuk.com) o..."
Paid bribe of Rs.32000/- to register a sale deed,"42,000",Property Registration,"April 22, 2019","Bangalore, Karnataka",1917,"In order to register a sale deed, I was asked to pay a bribe of Rs. 32000/- at BBMP Sub Registrar and Registrar of Marriages, Varthur, Bengaluru, Karn..."
Bribe for pan card dispatch,300,Post and Parcel,"April 22, 2019","Muzaffarpur, Bihar",2386,Pan card dispatched k time post man ne manga paisa and mera passport v jab aaya tha WO 300 manga tha pure society me WO paisa mangta hai nhi dene pe b...
ASKING FOR MONEY WHILE PASSPORT VERIFICATION,300,Police Verification for Passport,"April 21, 2019","Tuticorin, Tamil Nadu",3367,"YESTERDAY I GOT A CALL FROM SIPCOT POLICE STATION IN TUTICORIN ,  AROUND 11:00 A.M . I VISITED SIPCOT POLICE STATION ON 20/04/2019 AT SIPCOT POLICE ST..."
Bribe for issue of Domicile Certificate,"1,000",Domicile and Residence,"April 20, 2019","Bangalore, Karnataka",1698,34 times the cost of the Certificate to sign the Domicile Certificate. She shamelessly demanded the amount from my Daughter who is doctor for submitti...
I paid to get complaint letter signed for lost marks card,140,Lodging Police Complaint,"April 19, 2019","Tumkur, Karnataka",3645,Kyathasandra police station at 1am on 19-04-2019...
Paid Rs.1000 to agent for Driving License Extract,"1,000",Services,"April 19, 2019","Chennai, Tamil Nadu",6131,I have applied for Driving License Extract for using the same in abroad for Licensing purpose. I have paid Rs.40 DL Extract and Rs.100 for Convenience...
New 6.5,"2,200",Others,"April 18, 2019","Adari, Uttar Pradesh",2223,"Shop Online Best New 6.5"" Plastic Toolbox Style Hoverboard Carry Case UK at Smart Boards UK that is made with THICK, DURABLE, WATERPROOF Plastic, Prot..."
Powermatic 3 or Powermatic III Cigarette Machine For Sale,"2,200",Others,"April 18, 2019","Achhnera, Uttar Pradesh",2532,Powermatic III (3) Cigarette Machine is the cheapest and great way to save hundreds of dollars a year instead of buying packaged cigarettes and also r...
AR15 Rear Charging Stripped M4 Flat Top Upper Receiver (U.S MADE) at AR15handguard.com,"2,200",Others,"April 16, 2019","Abhayapuri, Assam",3235,"AR15 Handguard’s AR15 Rear Charging Stripped M4 Flat Top Upper Receiver (U.S MADE) is a perfect start for your AR build, from a standard M4 style ri..."
Buy Best Nitrous Injection Tube at RBinnovations.com,"2,500",Others,"April 16, 2019","Adoni, Andhra Pradesh",2331,"These 12"" (inch) Aluminum Nitrous Injection tubes can be easily bent and assembled to any chassis and the high flow tubing can be directly attached to..."
Bribe for court seal in order- 150 for one seal in paper,150,Services,"April 16, 2019","Chennai, Tamil Nadu",2781,"In family court, one person i have seen he was asking  bribe  for each and  every work.  If we fails to give he was very rude and asking  to come  nex..."
Handcrafted Stemless Wine Glasses,"2,200",Others,"April 15, 2019","New Delhi, Delhi",1950,Handcrafted Stemless Wine Glasses @ https://hardworkingproducts.com/handcrafted-stemless-wine-glasses/...
Jagnathpur police station at Ranchi Jharkhand is asking for bribe for passport police verification,"10,000",Police Clearance Certificate,"April 15, 2019","Ranchi, Jharkhand",4556,Police is asking bribe for police verification for passport issuance. ...
Officers take a lot of bribe ,"1,00,000",Services,"April 12, 2019","Bathinda, Punjab",1459,Officers are taking bribe from contractors and in a huge amount to pass the bill . This should be stopped ...
"Royal Mint Coupon Code, Promo Code, Cash Back or Discount Code & Deals 2019","2,500",Others,"April 12, 2019","Adari, Uttar Pradesh",2346,"Get the latest Royal Mint Coupon Code, Royal Mint Promo Code, Royal Mint Discount Code, Royal Mint Cashback offers, Royal Mint Coupons, Royal Mint Dea..."
"Peggybuy Coupon Code, Promo Code, Cash Back or Discount Code & Deals 2019","2,500",Others,"April 12, 2019","Agartala, Tripura",1914,"Get the latest Peggybuy Coupon Code, Peggybuy Promo Code, Peggybuy Discount Code, Peggybuy Cashback offers, Peggybuy Coupons, Peggybuy Deals 2019 and ..."
Bribe for Property Registration,"14,700",Property Registration,"April 12, 2019","Harda, Madhya Pradesh",1260,Paid Bribe via Advocate to the Registrar for registration of the property on 10th April 2019 in Harda District. Sub Registrar Baysiya Nigwal. Total Am...
RB Innovations,"2,200",Others,"April 12, 2019","Adari, Uttar Pradesh",2488,Https://rbinnovations.blogspot.com/2019/04/strut-bar-is-it-really-needed-in-your.html  https://uberant.com/article/512616-strut-bar-is-it-really-neede...
Bribe Complaint,"3,00,000",Certificates,"April 12, 2019","Bellary, Karnataka",2684,"Hi Sir,  This is to inform that India has still taking Bribe and the people who are taking Bribe or happy and the person who is paying the bribe is su..."
Informed wrong fine for transoarent  tinted window glasses,"3,000","Traffic Fines, Penalties, Rules","April 12, 2019","Thane, Maharashtra",5260,"I was traveling to the office with my wife. at Vitava (Thane) traffic police stopped my car and asked for all documents. As I had all documents, they ..."
Person taking bribe,"3,00,000",Certificates,"April 12, 2019","Bellary, Karnataka",2885,There is a person who took bribe advance of Rs.50000/- from my wife and said after election she will get the job because of this there are chances tha...
Forcely taken money,500,Policies and Procedures,"April 12, 2019","Kalyan, Maharashtra",2018,I just sitting on bench but got sleep & for sleeping on platform they taken bribe 500rs from me or want to put me in lockup Shelar RPF Kalyan station ...
I was asked for bribe,"5,00,000",Building and Housing,"April 11, 2019","Gurgaon, Haryana",2685,"My father was in army and was killed in kargil war, i applied for petrol pump and got a letter from bharat petroleum to show land for pump. I applied ..."
BRIBE PAID TO BBMP ENGINEER,"25,000",Building and Housing,"April 11, 2019","Bangalore, Karnataka",1876,"NAME OF THE OFFICER: JAGDISH DESIGNATION: ASSISTANT ENGINEER, BBMP, NAGAWARA/HBR LAYOUT DATE: 13-OCT-2010 LOCATION :BBMP OFFICE, NAGAWARA  ABOVE MENTI..."
Bribe for not doing my work,"1,500",Number Plates and Vehicle Registration,"April 9, 2019","Muktsar, Punjab",2490,I was compelled to pay bribe for getting my work done by a worker at SDM office Giddarbaha for getting my registration certificate of car. His name wa...
Hand Blown Stemless Wine Glasses For Sale at Hardworkingproducts.com,"2,200",Others,"April 9, 2019","Adilabad, Telangana",2305,Buy online best and beautiful hand blown stemless wine glasses made from recycled glass and each cup is handcrafted in Mexico by Xaquixe Glass Studio....
Supercharger Spare and Upgrade Parts,"2,222",Loan Sanctioning,"April 9, 2019","Adari, Uttar Pradesh",3608,"Buy online best and affordable 1/5th Scale supercharger spare parts, 1/5 Scale rc parts, 1/5th Scale Supercharger Drive Belts, 1/5th Scale Supercharge..."
Brife for  passing the bill,"1,000",Others,"April 8, 2019","Peravurani, Tamil Nadu",2480,I am a teacher working in a school.. whenever our bill passed in the treasury we have to give a certain amount as brife.. If we pass an individual bil...
AR15 10,"22,000",Others,"April 8, 2019","New Delhi, Delhi",2145,"Buy online AR15 10"" Ultra-Light Super Slim MLok Handguard Free Float Raw Handguard that comes with Steel Barrel Nut, with 3 insert and screws and mono..."
Hoverboard Segway/Swegway Repair Services UK at Smartboardsuk.com,"2,600",Others,"April 8, 2019","Achhnera, Uttar Pradesh",2410,"Smart Boards UK is the most trusted, affordable and best Swegway Hoverboard Repair UK based Company which provides best Swegway Repair services for ev..."
Bribe expected at Subramanya Nagar Police station,"1,000",Issue and Renewal of Passport,"April 7, 2019","Bangalore, Karnataka",2719,If you need to get your background verification done at this station for your passport renewal - bribe is expected by the 3 to 4 officers who sit ther...
Bribe expected for getting background verification done during passport renewal.,"1,000",Issue and Renewal of Passport,"April 7, 2019","Bangalore, Karnataka",1804,"In Subramanya Nagar Police station Bangalore if you go for Passport verification, they will ensure you don't get your passport renewed (scare you it w..."
Bribe for Gift deed,"15,000",Property Registration,"April 7, 2019","Gulbarga, Karnataka",2893,"As per the government the fee for ""Gift Deed to Family Member"" is  The stamp duty and registration fee on gift deed of immovable property is fixed sta..."
Bribe for Passport verification,600,,"April 7, 2019","Gulbarga, Karnataka",2588,The date I mentioned is approx. Well this is very open fact that police officers demands the money openly for passport file verification orelse the pr...
AEE/JEE Taken Rs 5000 for burnt Transformer Replacemet,"5,000",Transformers,"April 6, 2019","Bokaro, Jharkhand",2414,Chandankyari JEE(Ashish Munda) and AEE(Vijay Malto ) both are corrupt officer. Bina paise ka koi kaam nahi hota hai enke yaha pe. Hamare village chand...
Paid Rs 9000 to LEO DK Mishra ,"9,000",Policies and Procedures,"April 6, 2019","Bokaro, Jharkhand",2283,Mr. DK Mishra LEO Bokaro is a very corrupt officer....
SANJAY MURLIDHAR JOSHI JE nasik,"20,000",Traveling without Ticket,"April 6, 2019","Nashik, Maharashtra",4538,"SANJAY MURLIDHAR JOSHI of nasik division je for signalling has asked me bribe, he said all people pay and I have to too. Please capture him and Don't ..."
"Passport verification, additional documents or bribe ","1,000",Verification and Certificates,"April 6, 2019","Pune, Maharashtra",5825,"This is to make people aware of the happening at chatushrungi police station, Pune, regarding police verification for passport application. Police are..."
Bribe for E-Swathu (Electronic khata) at Kolar CMC,"57,000",Khata,"April 4, 2019","Kolar, Karnataka",2595,"After turning many rounds for 2 months unsuccessful ly in getting electronic khata ( E-Swathu), I gave up and paid 9500 per site. It is terrible feeli..."
DGFT RC ISSUANCE BRIBE INR 1500 PER RC. ,"1,500",Importer Exporter Code,"April 4, 2019","Kolkata, West Bengal",3126,A organised bribe system going on in DGFT Kolkata and for everyone its a normal. For non EDI port export we need RC paper signed from DGFT officer for...
AR15handguard,"2,200",Others,"April 4, 2019","Adilabad, Telangana",2591,Https://knowledgebase.practicefusion.com/forums/276361-product-ideas/suggestions/37286650-ar15-gas-tube-ar15-gas-block-at-ar15handguard-co https://hel...
Police verification officials charging money,500,Policies and Procedures,"April 4, 2019","Thiruvallur, Tamil Nadu",2051,"This happened a few months ago, i failed to report it immediately. We live in Kadambathur area, 631203. The police official came home for verification..."
"JCPenney Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019","2,50,000",Others,"April 3, 2019","Achhnera, Uttar Pradesh",2157,"Get the latest JCPenney Coupon Code, JCPenney Promo Code, JCPenney Discount Code, JCPenney Cashback offers and JCPenney Deals 2019 automatically appli..."
"Mobile Advance Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019","25,000",Others,"April 3, 2019","New Delhi, Delhi",2054,"Get the latest Mobile Advance Coupon Code, Mobile Advance Promo Code, Mobile Advance Discount Code, Mobile Advance Cashback offers and Mobile Advance ..."
Moisture Meter For Tobacco or Wood at Hardworkingproducts.com,"2,200",Others,"April 3, 2019","Abohar, Punjab",3098,Easy to use moisture meter at Hardworkingpeoducts.com tests your tobacco to guarantees moisture level is at the optimal level for making your own ciga...
Paid for not showing pollution certificate for two wheeler,100,"Traffic Fines, Penalties, Rules","April 3, 2019","Raipur, Chhattisgarh",2950,I am from chennai i came to Raipur AIIMS for my father's cardio treatment he was discharged on monday . Today i again went to bring some medicine at t...
HPI Hellfire Supercharger at RBinnovations.com,"2,896",Others,"April 3, 2019","New Delhi, Delhi",1760,The highest performance HPI Hellfire Supercharger with its awesome handling and outstanding performance straight out of the box is now available at RB...
I was carrying one baby pegion with me,400,Transport of Luggage and Goods,"April 2, 2019","Ludhiana, Punjab",2705,I was carrying one baby pegion with me the date was 02/4/2019 morning about 5 o'clock. He stoped me and started using bad words. I told him that do my...
Paid bride in sub-registrar office brigade road to get GPA done,500,Certificates,"April 1, 2019","Bangalore, Karnataka",1841,A bunch of corruption insects are sitting in sub-registrar office ..shivajinagar bangalore which is near brigade road. govt fee is 200 rs..they shamel...
"One Travel Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019","1,500",Others,"April 1, 2019","Abohar, Punjab",2934,"Get the latest One Travel Coupon Code, One Travel Promo Code, One Travel Discount Code, One Travel Cashback offers and One Travel Deals 2019 automatic..."
"The SSL Store Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019","2,230",Others,"April 1, 2019","Achhnera, Uttar Pradesh",2181,"Get the latest The SSL Store Coupon Code, The SSL Store Promo Code, The SSL Store Discount Code, The SSL Store Cashback offers and The SSL Store Deals..."
"Microsoft Bing Ads Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019","25,000",Others,"April 1, 2019","New Delhi, Delhi",1874,"Get the latest Microsoft Bing Ads Coupon Code, Microsoft Bing Ads Promo Code, Microsoft Bing Ads Discount Code, Microsoft Bing Ads Cashback offers and..."
AR15 Forward Assist Assembly Kit & Ejection Dust Port Door,"25,000",Others,"April 1, 2019","Belgaum, Karnataka",3287,"Buy online AR15 Forward Assist Assembly Kit and Ejection Dust Port Door .223, 5.56  Dust Cover Kit that includes Standard Ejection Port Cover, Ejectio..."
Dscsdcvfdfd,"23,424",Loan Sanctioning,"April 1, 2019","Abhayapuri, Assam",3669,Sdsdfsddfewferwfwrfwfe...
Hoverboard Segway Swegway Replacement Parts UK at Smartboardsuk.com,200,Others,"April 1, 2019","New Delhi, Delhi",1940,"If you are looking for best, cheap and affordable hoverboard parts uk, segway parts uk, swegway parts uk and hoverkart parts uk online then you have v..."
Bribe paid for police verification ,200,Certificates,"March 31, 2019","Vadodara, Gujarat",2413,"I have paid bribe to police station  for police verification. They have asked me 200 rs, the police station is behind Yash complex near Gotti.  I was ..."
KPWD office KR circle- Manjunath ,"50,000",Policies and Procedures,"March 30, 2019","Bangalore, Karnataka",2001,The officer name is Manjunath asked me for 50000 for his signature  but I dint paid him. And also in the same office their is a attender named Dhananj...
Jawahar navodaya vidyalay me ghoos lekar paper leak,"10,000",Others,"March 30, 2019","Gonda, Uttar Pradesh",2827,Deoria me jawahar navodaya vidyalay mankapur gonda Up...
Paid for completing the process. ,"1,000",Pension Processing,"March 30, 2019","Kashipur, Uttarakhand",1179,"Satyendra  BRC Office, Chaiti chauraya, opposite petrol station, Kashipur 244713. 30-march-2019 11:00am (in his office)   Just reached home after payi..."
He asked me bribe  but I refused to pay which amount he asks,"3,000",Professional Tax,"March 30, 2019","Hyderabad, Telangana",2553,Saleem  Pt department  Sales tax officer  29-03-2019 2:30pm Near charmaas. Abids  In the office  at kharaitabad  circle ...
Taking bribe to repair the electricity line by the linemen with the support of senier officer ,500,Services,"March 29, 2019","Faridabad, Haryana",2524,"They always asking for bribe to repair of electricity line, linemen of electricity board badrola namely ramcharan and two others, always asking for br..."
For delivering passport every time they demand money,50,Money Order,"March 28, 2019","Amritsar, Punjab",3442,Postmaster every time asks for bribe for delivering passport Even if he  is getting his salary...
"Shopify Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019","3,000",Others,"March 28, 2019","New Delhi, Delhi",1917,"Get the latest Shopify Coupon Code, Shopify Promo Code, Shopify Discount Code, Shopify Cashback offers and Shopify Deals 2019 automatically applied at..."
"Semrush Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019",200,Others,"March 28, 2019","New Delhi, Delhi",2048,"Get the latest Semrush Coupon Code, Semrush Promo Code, Semrush Discount Code, Semrush Cashback offers and Semrush Deals 2019 automatically applied at..."
Bribe for finding stolen jewels,"2,500",FIR and Complaints,"March 28, 2019","Nagapattinam, Tamil Nadu",2041,"This incident had happened at SEMBANAR KOVIL police station (Nagapattinam district, TN) on 26/03/2019 (6.00 PM). On the first day just to register FIR..."
Buy High Standard AR15 Detachable Carry Handle at AR15handguard.com,"2,596",Others,"March 28, 2019","New Delhi, Delhi",1733,"If you own an AR15 Handguard, there are a lot of or numerous reasons for getting an attachable carry handle. These ar15 accessories can come in useful..."
Bribe for finding stolen jewels,"2,500",FIR and Complaints,"March 28, 2019","Nagapattinam, Tamil Nadu",1895,"This incident had happened at Akkur police station (Nagapattinam district, TN) on 26/03/2019 (6.00 PM). On the first day just to register FIR complain..."
Bribe for DTCP Approval,"1,000",Registrations and Licenses,"March 28, 2019","Coimbatore, Tamil Nadu",3104,"For getting DTCP approval for a residential plot of land,  I had to pay Rs.1000 as bribe to an officer at Coimbatore North Taluk  office in-spite of s..."
Bribe for LPC,100,Certificates,"March 28, 2019","Gaya, Bihar",2661,"It is happened on 27th March 2019 at 2.30pm. when I when to Block office Imamganj gaya824206, to issue LPC certificate. He told your LPC is ready but ..."
Bribe for LIU verification ,500,Policies and Procedures,"March 27, 2019","Modinagar, Uttar Pradesh",858,I was called for LIU verification. I went there with my father and had to give 500 rupees. I somehow managed to record his voice....
Koramangala Police took Bribe,"2,000",FIR and Complaints,"March 27, 2019","Bangalore, Karnataka",1762,"Most corrupted police in Bangalore is police roaming in 100 , pub was playing loud music in open terrace and we have complained about the same, they c..."
"Boldcommerce Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019","2,596",Others,"March 27, 2019","Adari, Uttar Pradesh",1984,"Get the latest Boldcommerce Coupon Code, Boldcommerce Promo Code, Boldcommerce Discount Code, Boldcommerce Cashback offers and Boldcommerce Deals 2019..."
"Bluehost Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019","2,500",Others,"March 27, 2019","New Delhi, Delhi",1672,"Get the latest Bluehost Coupon Code, Bluehost Promo Code, Bluehost Discount Code, Bluehost Cashback offers and Bluehost Deals 2019 automatically appli..."
"Amazon Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019","2,000",Others,"March 27, 2019","New Delhi, Delhi",1565,"Get the latest Amazon Coupon Code, Amazon Promo Code, Amazon Discount Code, Amazon Cashback offers and Amazon Deals 2019 automatically applied at chec..."
Shri RK DEVKAR AND N.B RAJPUT,"5,000",Property Registration,"March 27, 2019","Mumbai, Maharashtra",2566,I went for registeration and the officer tried to remove faults in documents and lastly he told u dont have noc of sra   For which i told him there ar...
